Fecha;Tipo de Cambio Minorista;Dólar Ahorro;Dólar MEP;Indice Merval;Badlar en $;Tasa de Interes deposito 30 días;Tasa de Interes prestamos por cuenta corriente;Crecimiento Económico;Riesgo crediticio;Desempleo;Indice de Volatilidad
16/05/2018;24,68;;;31632,5;29,25;20,51;;;;;
17/05/2018;24,8;;;30991,4;30,125;27,84;;;;;
18/05/2018;24,89;;;30234;29,25;26,34;;;;;
21/05/2018;25,05;;;29664,9;29;26,22;;;;;
22/05/2018;24,9;;;28653,8;29,5;27,27;;;;;
23/05/2018;24,86;;;28325,6;28,1875;25,91;;;;;
24/05/2018;24,99;;;28389,4;28,5;26,54;;;;;
28/05/2018;25,16;;;28558,8;28,25;23,05;;;;;
29/05/2018;25,25;;;28436,8;29;26,25;;;;;
30/05/2018;25,47;;;29036,2;29,4375;26,98;;;;;
31/05/2018;25,49;;;30359,3;30;27,3;;;;;
01/06/2018;25,51;;;30428;29,25;27,08;;;;;
04/06/2018;25,57;;;30177,8;28,8125;25,86;;;;;
05/06/2018;25,55;;;31444,1;29,4375;26,75;;;;;
06/06/2018;25,55;;;31703,9;29,3125;26,96;;;;;
07/06/2018;25,47;;;30749,1;29,1875;27,21;;;;;
08/06/2018;25,54;;;30228,4;29,4375;26,76;;;;;
11/06/2018;25,95;;;30114,9;28,9375;25,83;;;;;
12/06/2018;26,44;;;30147,7;29,75;26,7;;;;;
13/06/2018;26,38;;;27656,6;29,8125;27,11;;;;;
14/06/2018;26,69;;;29118,5;29,4375;27,03;;;;;
15/06/2018;28,43;;;30869,4;29,3125;26,75;;;;;
18/06/2018;28,85;;;30210,6;30,6875;27,5;;;;;
19/06/2018;28,41;;;28825,1;31,75;29,34;;;;;
21/06/2018;28,46;;;28473,5;32,0625;28,83;;;;;
22/06/2018;28,19;;;25921,1;31,75;28,88;;;;;
25/06/2018;27,76;;;26789,4;32,875;30,94;;;;;
26/06/2018;27,66;;;26037;32,375;28,97;;;;;
27/06/2018;27,73;;;25298;31,875;29,01;;;;;
28/06/2018;28,05;;;27092,2;32,5625;20,53;;;;;
29/06/2018;28,68;;;27702,9;32,6875;29,91;;;;;
02/07/2018;29,57;;;27813,2;33;30,41;;;;;
03/07/2018;29,04;;;27611;33,75;27,86;;;;;
